Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
ACLS,2.44,1.91,"726,976","641,381",267.41M,N/A,-0.30,2.0,2.0,0.0,3.25,3.25,3.50,3.00,2
MAG,24.78,2.77,"3,172","3,590",80.49M,21.45,1.16,3.0,3.0,0.0,2.91,2.91,2.91,2.91,1
AMCF,1.65,2.41,"108,580","204,537",16.09M,4.06,0.41,3.0,3.0,0.0,7.00,7.00,7.00,7.00,1
AMCC,12.49,1.57,"1,204,638","965,633",922.49M,N/A,-1.61,2.4,2.3,0.1,14.67,16.00,20.00,4.00,9
SIF,28.41,0.65,742,"6,037",152.67M,14.97,1.90,N/A,N/A,N/A,15.50,15.50,15.50,15.50,1
EVI,3.01,0.5,"43,688","70,362",21.17M,11.27,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVJ,11.54,N/A,"15,834","15,667",0,0,0,0,0,0
EVK,5.43,0.48,"17,729","33,406",80.26M,5.09,1.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRTO,32.42,N/A,"68,735","489,582",1.53B,N/A,-0.19,1.6,1.6,0.0,32.62,32.01,40.01,28.37,6
EVM,10.26,N/A,"49,906","78,340",0,0,0,0,0,0
EVO,12.30,N/A,"13,953","11,851",0,0,0,0,0,0,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
NMZ,12.05,-0.04,"102,383","165,438",379.85M,7.11,1.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GTIM,2.63,-0.29,"13,181","43,187",12.94M,N/A,-0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOPS,1.71,4.94,"15,703","5,903",29.12M,N/A,-3.38,3.0,3.0,0.0,0.25,0.25,0.25,0.25,1
RLJE,4.80,-0.07,"2,209","9,984",65.77M,N/A,-0.02,3.0,2.5,0.5,8.00,8.00,8.00,8.00,1
BSRR,15.93,1.49,"40,940","19,519",226.14M,19.43,0.82,3.0,3.0,0.0,18.00,18.00,18.00,18.00,1
CRTX,9.50,0.69,"52,845","67,486",252.17M,24.42,0.39,3.0,3.0,0.0,9.50,9.50,9.50,9.50,1
DSWL,2.25,0.65,"135,435","24,832",36.67M,N/A,-0.32,N/A,N/A,N/A,7.75,7.75,7.75,7.75,1
EVP,11.20,N/A,"1,452","10,592",0,0,0,0,0,0
ICUI,63.08,0.6,"108,906","135,846",929.42M,23.46,2.69,2.6,2.6,0.0,72.25,70.50,82.00,66.00,4
GAIA,6.84,1.38,"37,217","37,987",155.88M,16.85,0.41,2.0,2.0,0.0,8.00,8.00,8.00,8.00,1
EVV,15.26,0.33,"351,280","367,779",1.79B,19.15,0.80
LSG,0.49,1.59,"382,590","268,630",205.39M,N/A,-0.76
AQUUU,10.27,N/A,200,240,67.65M,N/A,N/A
GHDX,28.72,0.63,"144,546","173,933",882.80M,N/A,-0.05,2.6,2.6,0.0,34.77,35.00,42.00,20.00,13
AQUUW,0.24,N/A,0,N/A,0,0,0,0,0,0
TTS,18.14,-0.04,"687,306","1,620,120",928.62M,N/A,-1.53,2.3,2.3,0.0,21.13,21.00,30.00,14.00,8
SPBC,19.70,0.07,"28,785","1,681",28.78M,21.37,0.92
BIRT,7.69,1.29,"112,460","218,159",366.33M,71.87,0.11,2.0,2.0,0.0,9.00,9.00,9.00,9.00,3
LSI,11.03,2.03,"18,932,600","11,142,400",6.01B,61.62,0.18,3.1,3.1,0.0,10.22,11.00,11.15,8.00,15
WWWW,31.35,1.67,"424,608","858,187",1.54B,N/A,-2.37,1.9,1.9,0.0,33.17,34.00,36.00,28.00,12
IPWR,5.31,N/A,"8,962","45,550",32.92M,N/A,-5.65
TIGR,1.97,0.71,"41,413","14,029",59.26M,N/A,-0.15,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
WSBF,11.21,-0.19,"35,183","22,418",349.34M,11.35,0.99,N/A,N/A,N/A,8.00,8.00,8.00,8.00,1
WSBC,31.17,0.86,"70,535","58,978",914.84M,14.68,2.12,3.0,3.0,0.0,32.80,33.00,33.50,31.00,5
USLV,50.49,118.79M,"169,027","227,233",0,0,0,0,0,0
PFIN,7.11,0.58,"3,312","7,971",26.26M,10.50,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRF,8.29,N/A,"8,871","8,833",0,0,0,0,0,0
USLM,60.61,1.31,"20,235","14,640",337.17M,21.13,2.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEVA,15.08,0.93,"202,405","169,000",331.50M,52.91,0.28,2.5,2.5,0.0,18.93,19.00,24.00,13.00,7
TMNG,2.82,0.89,125,"5,883",20.11M,N/A,-0.05,N/A,N/A,N/A,1.60,1.60,1.60,1.60,1
BBOX,29.41,1.69,"29,295","62,137",467.47M,16.84,1.75,3.0,3.0,0.0,26.00,26.00,26.00,26.00,1
CPRX,2.13,0.08,"934,006","1,707,650",115.30M,N/A,-0.27,2.0,2.0,0.0,4.69,4.50,6.00,3.75,4
ZU,38.65,N/A,"297,546","734,533",4.72B,N/A,-0.18,2.6,2.6,0.0,38.25,38.50,40.00,36.00,4
CPRT,36.31,0.83,"738,978","802,832",4.56B,26.90,1.35,2.1,2.1,0.0,37.22,39.00,43.00,28.00,9
GARS,13.71,N/A,"42,611","33,218",0,0,0,0,0,0,1.4,1.4,0.0,15.88,16.00,16.50,15.00,4
GRH,1.19,3.56,"14,864","100,240",40.21M,N/A,-0.47,2.3,2.3,0.0,3.25,3.25,4.00,2.50,2
SLRC,22.72,0.55,"165,652","225,056",1.01B,14.09,1.61,2.7,2.7,0.0,23.97,24.00,26.75,22.00,8
NOM,12.85,N/A,"8,891","7,605",0,0,0,0,0,0
WPCS,2.56,0.19,"2,308,435","1,291,790",3.99M,N/A,-13.89,N/A,N/A,N/A,12.00,12.00,12.00,12.00,1
FTCS,33.46,N/A,"10,403","13,659",0,0,0,0,0,0
RPTP,13.26,0.11,"357,620","748,208",812.72M,N/A,-0.84,1.7,1.7,0.0,15.81,16.50,18.00,10.00,8
DYAX,7.67,1.03,"503,990","1,426,350",928.45M,N/A,-0.30,1.5,1.5,0.0,7.88,7.75,8.50,7.50,4
LPSN,14.64,1.29,"251,250","355,289",792.51M,N/A,-0.03,2.6,2.6,0.0,12.97,14.00,17.00,9.00,9
AVHI,18.27,2.12,"62,595","26,864",401.96M,N/A,-6.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LPSB,11.07,0.72,259,"9,686",64.15M,16.07,0.69,2.0,2.0,0.0,12.00,12.00,12.00,12.00,1
NTES,78.21,1.29,"662,413","755,138",10.17B,15.21,5.14,1.9,1.9,0.0,76.92,78.00,85.50,63.00,19
WVVI,6.35,0.31,927,"8,057",30.66M,19.30,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RLGT,2.53,0.76,"55,026","76,327",84.34M,21.08,0.12,2.0,2.0,0.0,3.50,3.50,3.50,3.50,1
CTP,5.84,1.89,"7,433","12,556",41.29M,N/A,-0.47,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
SYPR,2.87,0.13,"6,529","20,830",55.60M,N/A,-0.48,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
WEBK,19.55,N/A,17,"2,013",44.75M,18.15,1.08
SPPI,8.48,1.6,"743,349","864,848",524.94M,N/A,-0.26,2.8,2.8,0.0,10.50,10.50,15.00,5.50,8
IMUC,0.96,1.38,"1,359,651","2,412,640",54.59M,N/A,-0.16,2.2,2.2,0.0,5.55,5.00,12.00,1.25,5
PBMD,1.08,3.207,"101,870","173,835",41.74M,N/A,-0.45
CTF,16.90,N/A,"132,500","152,202",0,0,0,0,0,0
CTG,18.08,1.39,"26,719","55,267",336.16M,18.45,0.98,1.8,1.8,0.0,21.94,22.00,25.00,18.75,4
LBAI,12.11,1.29,"65,832","63,065",433.93M,16.41,0.74,2.0,2.0,0.0,13.00,13.50,13.50,12.00,5
IFAS,31.84,33.55M,987,"3,649",0,0,0,0,0,0
CCBG,11.83,0.38,"20,461","27,451",205.12M,39.70,0.30,2.8,2.8,0.0,12.50,12.50,14.00,11.00,4
CTO,36.15,1.2,"5,204","6,838",211.44M,110.21,0.33,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
VRTX,73.45,-0.12,"799,560","1,858,140",17.17B,N/A,-2.56,2.0,2.0,0.0,92.98,94.00,115.00,75.00,26
WHF,15.17,N/A,"26,012","28,140",0,0,0,0,0,0,2.5,2.5,0.0,15.50,15.75,16.50,14.00,6
MOBI,4.05,5.62,"662,422","234,824",120.67M,27.36,0.15,1.0,1.0,0.0,7.50,7.50,7.50,7.50,1
VSEC,48.57,-0.57,"31,729","11,744",259.02M,13.10,3.71,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
ARTW,6.21,1.05,"7,276","8,352",25.08M,13.06,0.48,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
KTOS,8.10,0.75,"797,819","551,587",462.10M,N/A,-2.12,2.0,2.0,0.0,9.88,10.00,10.50,9.00,4
ARTX,3.30,0.47,"481,167","529,760",52.64M,15.49,0.21,2.0,2.0,0.0,3.70,3.70,3.70,3.70,1
ARTC,39.73,0.8,"89,391","132,286",1.13B,62.76,0.63,1.8,1.8,0.0,43.86,45.00,48.00,38.00,7
TASR,15.67,-0.4,"569,355","1,449,500",812.69M,48.36,0.32,2.5,2.5,0.0,19.83,18.50,25.00,16.00,3
TAST,6.59,-0.51,"103,112","93,606",151.87M,N/A,-0.89,2.3,2.3,0.0,8.00,8.00,8.00,8.00,2
FCLF,9.78,0.54,0,"2,703",68.53M,18.14,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOODP,25.05,N/A,102,579,357.16M,N/A,-0.21
ATEA,2.70,2.15,0,"6,337",9.68M,N/A,-0.47,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
ATEC,2.07,1.74,"218,135","127,068",199.51M,N/A,-0.29,1.9,1.9,0.0,3.27,3.00,5.00,2.00,7
LON,0.11,N/A,"1,716","5,854",8.08M,N/A,-0.28
DOVR,5.36,1.18,"1,514","3,217",28.64M,23.29,0.23,N/A,N/A,N/A,7.00,7.00,7.00,7.00,1
OCFC,17.53,0.87,"33,600","23,895",298.83M,16.41,1.07,2.3,2.3,0.0,18.83,19.00,20.00,17.50,3
TCBIP,22.00,N/A,"14,744","20,181",901.60M,7.83,2.81
GOODN,25.67,N/A,1,648,366.00M,N/A,-0.21
GOODO,24.45,N/A,2,821,348.61M,N/A,-0.21
NTAP,40.33,1.98,"1,475,620","4,245,250",13.75B,25.13,1.61,2.7,2.7,0.0,43.95,44.00,53.50,38.00,30
ALVR,0.69,-0.83,"33,657","51,830",4.35M,N/A,-8.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICGE,17.92,1.42,"126,748","229,951",651.48M,27.65,0.65,2.0,2.0,0.0,20.50,20.50,21.00,20.00,2
IRDMZ,0.43,N/A,"2,494","2,060",0,0,0,0,0,0
EDS,1.67,0.37,"29,197","28,248",55.29M,6.35,0.26,1.0,1.0,0.0,10.00,10.00,10.00,10.00,1
PDII,5.83,0.17,"40,455","21,341",88.35M,N/A,-1.69,2.7,2.7,0.0,10.00,10.00,10.00,10.00,1
KIOR,1.69,-0.68,"641,059","539,559",186.03M,N/A,-1.35,2.2,2.2,0.0,5.29,5.50,8.50,1.75,6
OCRX,13.86,2.57,"18,568","18,887",211.32M,N/A,-0.97,2.0,2.5,13.50,13.50,19.00,8.00,2
ORC,13.39,N/A,"38,625","26,668",44.74M,N/A,-1.00,1.5,1.5,0.0,14.38,14.38,14.75,14.00,2
EVEP,35.14,0.52,"284,399","362,841",1.70B,N/A,-0.86,2.1,2.1,0.0,44.78,43.00,53.00,39.00,9
DPW,0.60,1.66,"21,172","6,633",4.11M,N/A,-0.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSIQ,35.24,2.57,"5,803,250","4,090,580",1.67B,N/A,-4.14,2.0,2.0,0.0,40.00,40.00,42.00,38.00,3
VBFC,1.54,2.29,"9,299","8,356",6.55M,N/A,-0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PSEC,11.20,0.9,"1,653,824","2,873,840",3.10B,10.20,1.10,2.6,2.6,0.0,11.75,12.00,13.00,10.00,10
VXUS,51.44,109.69B,"731,001","241,683",0,0,0,0,0,0
