Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
GLNG,36.37,1,"473,129","669,124",2.93B,2.91,12.51,2.4,2.3,0.1,43.06,45.00,57.00,33.00,14
LFUS,92.32,1.84,"50,370","80,557",2.07B,25.75,3.59,2.3,2.3,0.0,89.50,88.00,98.00,82.50,3
GPRC,2.76,0.832,"66,666","155,784",28.72M,2.51,1.10,N/A,N/A,N/A,4.00,4.00,4.00,4.00,1
CONE,21.89,N/A,"143,905","243,765",481.38M,N/A,-0.52,1.7,1.7,0.0,24.57,25.00,26.00,23.00,7
GPRE,19.02,1.44,"732,241","673,144",579.67M,12.42,1.53,1.6,1.6,0.0,20.01,20.00,24.50,16.00,7
SGOC,3.43,-1.19,"282,037","344,184",59.18M,5.64,0.61
CONN,77.63,0.74,"575,668","981,746",2.79B,33.83,2.30,1.5,1.5,0.0,88.88,86.50,103.00,84.00,8
TGB,2.17,3.26,"404,448","539,432",417.86M,N/A,-0.20,2.1,2.0,0.1,4.09,3.50,6.20,3.00,7
HCAP,15.24,N/A,"3,942","13,373",93.27M,10.34,1.47,1.3,1.3,0.0,16.75,16.75,17.00,16.50,2
ALLB,15.26,0.04,512,"13,330",72.70M,42.63,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SFM,37.60,N/A,"797,570","810,259",5.54B,112.91,0.33,2.8,2.8,0.0,40.42,40.00,47.00,37.00,12
TGC,0.42,1.32,"65,520","90,729",25.55M,N/A,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WTSL,2.71,0.68,"632,811","1,279,570",229.60M,N/A,-1.12,2.3,2.3,0.0,4.04,3.50,6.00,2.50,5
IROQ,16.93,0.22,"3,184","6,046",71.58M,21.76,0.78
IOT,5.12,0.68,100,"3,241",21.34M,13.20,0.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GBNK,14.08,1.04,"7,626","18,822",293.92M,22.71,0.62,3.0,3.0,0.0,14.13,14.00,15.00,13.50,4
EEML,41.68,13.32M,115,"1,854",0,0,0,0,0,0
ALLT,15.15,1.96,"208,361","278,557",495.56M,N/A,-0.70,2.0,2.0,0.0,16.10,17.00,18.00,13.00,10
DGICA,15.70,0.05,"16,790","31,546",412.25M,17.80,0.88,2.0,2.0,0.0,18.00,18.00,18.00,18.00,1
DGICB,23.12,1.04,100,770,607.08M,26.21,0.88
EEME,52.90,10.54M,"1,300","1,981",0,0,0,0,0,0
EEMA,55.08,34.67M,"4,017","6,048",0,0,0,0,0,0
NVSL,7.17,0.28,"1,334","6,376",47.37M,N/A,-1.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVAX,5.31,1.19,"8,656,713","4,289,700",1.11B,N/A,-0.30,1.4,1.4,0.0,9.88,10.25,12.00,7.00,4
SNHY,41.16,2.29,"63,245","61,714",1.08B,29.65,1.39,3.0,3.0,0.0,42.00,42.00,42.00,42.00,1
HCOM,29.43,1.82,"8,461","24,864",304.28M,3.03,9.70,2.0,2.0,0.0,32.67,33.00,35.00,30.00,3
CLFD,19.33,0.59,"101,336","90,821",250.83M,53.69,0.36,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
HEOP,7.46,0.86,"7,109","62,711",187.90M,17.76,0.42,1.8,1.8,0.0,8.13,8.00,9.00,7.50,4
STLD,19.16,2.08,"1,167,437","1,919,770",4.25B,22.28,0.86,2.4,2.4,0.0,18.91,19.00,22.00,14.00,17
SANM,16.58,2.36,"486,479","1,128,980",1.40B,17.83,0.93,2.9,2.9,0.0,15.07,17.00,18.50,9.00,7
PCH,41.61,0.94,"194,581","209,022",1.69B,23.91,1.74,2.8,2.8,0.0,43.86,45.00,51.00,32.00,7
LECO,70.47,1.09,"239,507","319,979",5.75B,21.95,3.21,2.5,2.5,0.0,72.60,73.00,80.00,66.00,5
SMPL,16.50,0.27,"6,084","12,786",125.81M,21.91,0.75,3.0,3.0,0.0,16.00,16.00,16.00,16.00,1
ASBCW,2.50,N/A,0,"2,870",0,0,0,0,0,0
TIPT,7.62,-0.26,"1,200","2,437",78.23M,N/A,-0.05
SANWZ,0.51,N/A,"10,315","5,197",0,0,0,0,0,0
CCNE,18.95,0.89,"17,519","26,251",235.89M,14.96,1.27,3.0,3.0,0.0,20.00,20.00,20.00,20.00,1
RAVN,39.97,0.95,"132,592","100,422",1.46B,31.85,1.25,1.0,1.0,0.0,43.50,43.50,46.00,41.00,2
RPRXZ,16.56,N/A,0,N/A,0,0,0,0,0,0
RPRXW,18.51,N/A,0,N/A,0,0,0,0,0,0
STLY,3.85,1.77,"58,751","64,060",55.86M,N/A,-0.78,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
CXM,0.74,4.52,"148,634","101,203",6.05M,N/A,-1.30,1.0,1.0,0.0,2.00,2.00,2.00,2.00,1
METR,21.40,1.21,"10,153","23,652",302.92M,19.28,1.11,2.5,2.5,0.0,22.00,22.00,22.00,22.00,1
SURG,3.56,1.25,"54,050","149,244",88.80M,41.88,0.09,1.5,1.5,0.0,6.27,6.00,7.00,5.80,3
HCSG,28.02,0.59,"249,334","255,213",1.96B,35.47,0.79,1.9,1.9,0.0,29.17,30.00,32.00,25.00,6
SPPR,2.57,1.15,"21,748","13,671",7.45M,N/A,-3.38,3.0,3.0,0.0,2.00,2.00,2.00,2.00,1
ELMD,2.57,0.17,"782,541","156,111",20.85M,N/A,-0.14,2.0,2.0,0.0,2.75,2.75,2.75,2.75,1
NGPC,7.56,N/A,"45,431","61,189",0,0,0,0,0,0,3.0,3.0,0.0,6.25,6.25,6.25,6.25,1
AAON,31.68,1.66,"67,698","101,114",1.16B,31.68,1.00,3.0,3.0,0.0,27.00,27.00,27.00,27.00,1
HH,0.55,1.85,"571,216","159,735",38.55M,N/A,-0.23,1.0,1.0,0.0,6.50,6.50,6.50,6.50,1
AAOI,14.35,N/A,"47,345","82,640",181.23M,N/A,-3.07,1.8,1.8,0.0,17.63,17.75,20.00,15.00,4
HA,10.31,1.09,"2,548,160","887,375",540.11M,17.68,0.58,2.8,2.8,0.0,9.50,8.00,13.00,7.00,7
GTXI,1.66,2.53,"671,965","556,160",104.89M,N/A,-0.72,3.0,3.0,0.0,1.50,1.50,2.00,1.00,3
CTIC,2.20,1.98,"7,289,524","3,042,850",244.19M,N/A,-0.75,1.7,1.7,0.0,4.33,4.00,6.00,3.00,3
PTN,0.76,1.9,"24,456","84,824",29.79M,N/A,-0.14,2.0,2.0,0.0,3.50,2.50,6.00,2.00,3
TBBK,17.51,1.09,"192,320","157,970",658.73M,27.84,0.63,1.7,1.7,0.0,19.17,19.50,20.00,18.00,3
GRIF,33.46,0.91,"14,654","8,041",172.19M,N/A,-0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XTXI,34.82,0.84,"396,054","314,076",1.66B,N/A,-0.51,2.9,2.9,0.0,32.71,34.00,39.00,21.00,7
PTC,34.76,2.44,"431,104","696,211",4.12B,29.21,1.19,2.3,2.3,0.0,37.00,37.00,42.00,31.00,9
KLIC,13.13,1.79,"338,902","876,960",997.47M,16.83,0.78,2.0,2.0,0.0,15.33,17.00,18.00,11.00,3
LMNR,26.47,1.4,"20,365","35,695",352.32M,55.03,0.48,1.3,1.3,0.0,27.87,25.00,33.60,25.00,3
INVE,0.59,1.03,"569,964","216,117",43.66M,N/A,-0.51,2.0,2.0,0.0,1.25,1.25,1.25,1.25,1
ACOR,29.23,1.56,"398,678","423,597",1.19B,8.44,3.46,2.3,2.3,0.0,40.75,41.50,52.00,30.00,12
EGAN,10.72,2.84,"75,914","146,830",271.66M,170.16,0.06,1.6,1.6,0.0,14.40,14.50,16.00,12.50,5
OXGN,2.68,2.67,"153,505","539,619",8.40M,N/A,-5.94,3.0,3.0,0.0,1.20,1.20,1.20,1.20,1
AUXL,20.15,1.01,"442,521","930,356",995.47M,9.16,2.20,2.0,2.0,0.0,24.00,24.00,33.00,14.00,17
NEPT,3.03,1.81,"42,276","170,608",185.22M,N/A,-0.34,2.0,2.0,0.0,7.40,8.02,9.56,4.00,4
CHDX,16.92,1.91,"24,174","28,329",283.17M,N/A,-0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASDR,57.98,16.88M,0,"4,795",0,0,0,0,0,0
JAZZ,126.35,0.34,"423,307","743,906",7.30B,21.47,5.88,1.5,1.5,0.0,106.25,106.50,120.00,71.00,16
IBCP,12.58,1.3,"94,840","121,719",286.99M,2.88,4.37,2.0,2.0,0.0,14.00,14.00,14.00,14.00,1
LVNTA,119.04,N/A,"536,276","218,222",0,0,0,0,0,0,1.3,1.3,0.0,144.00,144.00,148.00,140.00,2
SCVL,29.38,1.09,"30,240","43,333",602.05M,20.37,1.44,2.3,2.3,0.0,29.75,31.00,32.00,25.00,4
LVNTB,121.29,N/A,20,41,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WINA,88.76,0.57,"7,929","12,302",455.78M,32.05,2.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PBM,6.59,1.31,100,"7,702",81.43M,N/A,-0.36
YHOO,40.12,0.98,"15,761,243","18,281,500",40.70B,34.62,1.16,2.4,2.4,0.0,37.48,37.75,49.00,15.00,28
EGAS,8.18,0.17,"48,892","89,365",85.49M,13.57,0.60,1.0,1.0,0.0,12.50,12.50,12.50,12.50,1
IBCA,7.53,1.3,"48,798","43,786",165.04M,13.45,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHDN,89.50,0.83,"21,640","32,864",1.55B,25.28,3.54,1.8,1.8,0.0,97.08,96.50,112.00,87.00,6
MATW,41.80,1.04,"47,535","71,935",1.14B,21.11,1.98,2.5,2.5,0.0,42.75,42.00,49.00,38.00,4
MATR,5.39,1.74,"59,942","32,313",93.58M,N/A,-0.91,2.0,2.0,0.0,7.00,7.00,7.00,7.00,1
INTT,3.86,1.27,"3,368","12,167",40.06M,15.44,0.25,1.5,1.5,0.0,7.00,7.00,7.00,7.00,1
FCVA,4.79,-0.34,"4,826","9,149",58.34M,20.65,0.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VVUS,9.55,1.59,"1,368,669","2,081,670",971.27M,N/A,-2.12,3.0,3.0,0.0,11.50,11.00,19.00,5.00,10
AMPE,7.59,1.38,"409,210","362,932",317.18M,N/A,-0.55,2.0,2.0,0.0,14.00,14.00,14.00,14.00,1
AVL,0.58,3.57,"488,224","451,776",63.88M,N/A,-0.11,2.5,2.5,0.0,1.50,1.50,1.50,1.50,1
PCMI,10.09,1.24,"20,648","29,829",118.10M,13.99,0.72,3.0,3.0,0.0,8.50,8.50,8.50,8.50,1
SUNS,18.46,0.64,"41,106","33,570",212.75M,26.15,0.71,2.3,2.3,0.0,19.25,19.00,21.00,18.00,4
WOOD,52.07,346.63M,"16,103","29,798",0,0,0,0,0,0
FNFG,10.40,1.23,"3,604,713","3,140,340",3.64B,14.86,0.70,2.5,2.5,0.0,11.35,11.50,12.00,9.00,13
BREW,16.53,1.16,"36,659","81,841",313.06M,236.14,0.07,2.7,2.7,0.0,16.83,17.00,17.00,16.50,3
PSIX,76.00,0.93,"21,616","39,124",796.40M,N/A,-1.51,2.0,2.0,0.0,72.17,75.00,77.00,55.00,6
THST,4.54,N/A,"3,182","12,830",12.26M,N/A,-0.38,1.0,1.0,0.0,9.00,9.00,9.00,9.00,2
SLI,26.21,2.06,"9,631","5,648",108.04M,10.05,2.61,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0
ESTE,18.35,1.25,673,"5,325",31.78M,10.78,1.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CPWR,11.16,1.11,"1,429,401","2,152,240",2.42B,N/A,-0.06,2.2,2.2,0.0,12.80,13.00,13.50,12.00,5
ACAD,25.26,3.06,"809,879","2,276,840",2.30B,N/A,-0.42,1.9,1.9,0.0,25.25,26.00,28.00,20.00,8
CGEN,9.12,0.2,"111,447","226,549",357.00M,N/A,-0.44,2.0,2.0,0.0,12.00,12.00,12.00,12.00,1
ZEUS,29.02,1.75,"75,538","51,119",318.12M,N/A,-0.10,2.7,2.7,0.0,28.88,28.25,38.00,21.00,4
GAME,4.36,2.62,"790,064","1,298,830",1.17B,7.69,0.57,2.7,2.7,0.0,4.36,4.40,6.50,3.30,11
ACAT,57.77,2.29,"121,471","126,587",776.78M,19.03,3.04,2.1,2.1,0.0,57.67,59.00,65.00,48.00,6
ACAS,15.63,1.78,"2,082,662","2,007,020",4.33B,9.95,1.57,2.3,2.3,0.0,16.00,16.50,17.50,13.50,7
ADHD,18.12,N/A,"56,790","95,089",201.64M,N/A,-0.57
JBLU,9.05,0.55,"6,975,729","6,032,300",2.56B,23.57,0.38,3.1,3.1,0.0,8.63,8.25,12.00,6.50,12
PFLT,13.73,N/A,"35,534","75,905",0,0,0,0,0,0,1.6,1.6,0.0,14.90,14.50,16.00,14.50,5
HDSN,3.77,1.62,"245,276","187,930",94.51M,N/A,-0.06,1.8,1.8,0.0,5.92,6.00,6.75,5.00,3
ATTU,10.54,-0.04,"133,407","160,116",145.92M,198.87,0.05,2.0,2.0,0.0,13.50,13.50,13.50,13.50,1
BTUI,2.68,1.13,810,"10,054",25.58M,N/A,-1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AVEO,1.85,0.08,"480,962","734,543",95.25M,N/A,-2.29,3.3,3.3,0.0,2.58,2.25,5.00,1.00,6
LPNT,53.36,1.04,"422,473","330,122",2.51B,19.76,2.70,2.7,2.7,0.0,53.92,54.00,62.00,45.00,19
OBCI,2.51,1.3,"25,327","17,524",21.76M,13.94,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NBS,8.08,1.18,"738,767","340,951",219.30M,N/A,-2.37,1.9,1.9,0.0,25.57,20.00,60.00,16.00,7
NBW,13.94,N/A,"9,334","27,625",0,0,0,0,0,0
GGAL,9.99,1.61,"321,659","615,971",1.24B,3.73,2.68,3.0,3.0,0.0,7.87,6.00,12.00,5.60,3
SQQQ,15.00,N/A,"1,551,966","2,334,760",0,0,0,0,0,0
EMIF,33.19,137.27M,"7,590","12,689",0,0,0,0,0,0
ISIG,2.78,0.6,"46,631","37,419",35.42M,39.71,0.07,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0
HBCP,18.81,0.35,"5,939","13,398",133.53M,16.63,1.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NBO,13.30,N/A,"8,475","24,402",0,0,0,0,0,0
NBN,9.74,0.57,"8,618","8,357",101.62M,29.52,0.33,2.0,2.0,0.0,13.00,13.00,13.00,13.00,1
NMIH,12.26,N/A,"7,473","234,084",711.72M,N/A,-0.99,1.0,1.0,0.0,17.25,17.25,17.50,17.00,2
ISIL,11.08,1.35,"819,237","852,173",1.41B,N/A,-0.22,2.9,2.8,0.1,11.36,11.50,15.00,8.00,14
CORE,75.43,0.5,"43,429","61,979",868.65M,24.18,3.12,1.3,1.3,0.0,86.75,83.50,100.00,80.00,4
GMO,1.37,1.68,"302,894","282,275",125.50M,N/A,-0.18,3.7,3.7,0.0,1.15,1.15,1.20,1.10,2
ADP,80.73,0.88,"1,948,060","1,788,540",38.87B,27.46,2.94,2.5,2.5,0.0,78.34,78.00,88.00,60.00,19
RNST,30.68,1.15,"55,627","69,824",962.16M,26.91,1.14,2.5,2.5,0.0,31.43,30.00,36.00,28.00,7
DNN,1.17,3.23,"800,020","821,662",540.39M,N/A,-0.14,2.3,2.3,0.0,1.56,1.51,2.12,1.13,5
HWCC,13.31,1.33,"32,090","63,170",238.79M,25.95,0.51,2.5,2.5,0.0,16.50,16.50,18.00,15.00,2
CORT,3.39,1.72,"401,667","264,343",338.37M,N/A,-0.46,2.9,2.9,0.0,1.73,2.00,2.00,1.20,3
RENT,37.12,1.84,"14,164","42,814",444.51M,N/A,-0.47,2.4,2.4,0.0,42.50,45.00,50.00,30.00,4
HUSA,0.26,2.15,"97,401","193,830",13.53M,N/A,-0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Z,81.88,1.26,"791,882","1,155,460",3.19B,N/A,-0.42,2.6,2.6,0.0,93.55,95.00,115.00,77.00,11
SLAB,42.46,1.03,"196,745","299,822",1.83B,31.95,1.33,2.1,2.1,0.0,45.50,47.00,50.00,40.00,10
ADK,4.45,0.65,"33,171","29,951",66.91M,N/A,-0.72,1.5,1.5,0.0,7.00,7.00,7.50,6.50,2
ADI,49.61,1.2,"1,644,748","1,953,280",15.43B,23.18,2.14,2.3,2.2,0.1,49.00,50.00,58.00,41.00,26
REGN,271.75,0.71,"392,042","732,522",26.69B,38.69,7.02,2.0,2.0,0.0,329.10,340.00,376.00,225.00,20
RIGL,3.06,1.38,"999,968","854,732",267.54M,N/A,-1.13,2.3,2.4,4.67,5.00,6.00,3.00,6
DEJ,0.13,1.5,"1,458,134","687,249",18.99M,N/A,-0.11,3.0,3.0,0.0,1.10,1.10,1.10,1.10,1
PTIE,4.83,1.07,"442,858","361,536",219.46M,N/A,-0.08,1.5,1.5,0.0,8.00,8.00,8.00,8.00,1
NSSC,6.20,0.31,"30,946","38,879",120.33M,33.33,0.19,1.0,1.0,0.0,3.10,3.10,3.10,3.10,1
BRN,3.08,1.19,"6,091","4,749",25.49M,N/A,-1.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PTIX,3.71,-0.05,"116,501","237,679",41.38M,N/A,-0.38,N/A,N/A,N/A,4.50,4.50,4.50,4.50,1
WAYN,11.57,0.15,"3,451","2,600",32.87M,16.20,0.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FFCO,19.48,0.16,0,"3,462",46.23M,20.57,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NWPX,37.93,1.87,"34,446","40,129",358.40M,17.47,2.17,1.8,1.8,0.0,42.00,43.50,48.00,33.00,4
DJCO,172.50,0.72,602,"1,073",238.05M,61.83,2.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRD,0.83,1.13,"708,555","814,721",191.95M,14.77,0.06,3.0,3.0,0.0,0.86,0.86,0.86,0.86,1
KOOL,1.05,1.53,"212,995","64,852",17.51M,N/A,-0.39,2.0,2.0,0.0,4.25,4.25,4.25,4.25,1
INOC,8.18,0.6,"2,840","18,559",108.34M,4.92,1.66,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
TCRD,16.52,N/A,"204,025","203,124",0,0,0,0,0,0,2.3,2.3,0.0,16.64,17.00,17.50,15.00,7
GNMA,48.12,29.08M,73,"5,476",0,0,0,0,0,0
SEB,"2,771.00",1.28,364,468,3.30B,16.28,170.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISH,57.80,0.46,"1,374,865","2,324,450",26.46B,36.38,1.59,2.5,2.5,0.0,53.22,53.00,63.00,39.00,23
GNMK,13.33,0.19,"106,575","235,271",552.96M,N/A,-0.84,1.7,1.7,0.0,14.83,14.50,17.00,14.00,6
EBSB,22.15,1.2,"7,152","20,033",475.63M,35.73,0.62,2.5,2.5,0.0,23.00,23.00,24.00,22.00,2
QTETU,10.08,N/A,0,"24,333",0,0,0,0,0,0
OVRL,1.01,-0.26,"136,495","172,946",31.43M,N/A,-0.66,2.5,2.0,0.5,2.00,2.00,2.00,2.00,1
WIRE,52.66,1.85,"97,332","78,479",1.09B,26.70,1.97,1.0,1.0,0.0,55.00,55.00,55.00,55.00,2
CTIB,5.80,0.7,"6,880","1,787",18.84M,252.17,0.02,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
EAD,9.25,N/A,"244,970","226,049",0,0,0,0,0,0
ALSK,2.31,0.97,"705,517","487,462",112.21M,0.97,2.37,3.5,3.5,0.0,2.00,2.00,2.00,2.00,1
JTPY,2.06,N/A,"3,997","18,954",23.73M,N/A,-0.33
ARKR,21.95,0.86,"3,042","2,851",71.47M,19.42,1.13,N/A,N/A,N/A,17.00,17.00,17.00,17.00,1
SHOR,9.34,1.59,"565,408","717,279",563.82M,N/A,-0.32,1.5,1.5,0.0,11.33,11.50,13.00,9.00,6
SHOS,25.08,N/A,"163,197","121,597",574.21M,13.95,1.80
CIDM,2.12,1.69,"199,860","294,960",136.38M,N/A,-0.62,2.0,2.0,0.0,3.75,3.75,4.50,3.00,2
ESP,32.60,0.46,448,"9,060",73.06M,13.76,2.37
MLHR,29.58,1.7,"308,227","279,236",1.74B,24.63,1.20,1.8,1.8,0.0,32.33,33.00,33.00,31.00,3
GOGO,23.91,N/A,"3,234,278","2,278,240",2.01B,N/A,-5.64,2.8,2.8,0.0,27.00,27.00,28.00,26.00,3
TROW,83.30,1.23,"776,894","1,335,260",21.73B,22.45,3.71,2.2,2.2,0.0,84.13,85.00,95.00,67.00,19
TROV,5.69,-2.38,"57,390","122,332",107.55M,N/A,-1.08,2.0,2.0,0.0,10.00,10.00,10.00,10.00,2
SHOO,36.38,1.24,"317,841","519,929",2.47B,18.79,1.94,2.1,2.1,0.0,42.56,42.00,48.00,37.00,9
FBMS,14.60,0.04,"4,298","2,095",74.49M,14.47,1.01,1.0,1.0,0.0,17.00,17.00,17.00,17.00,1
IPGP,75.11,2.7,"292,022","454,500",3.88B,25.63,2.93,1.8,1.8,0.0,76.13,76.50,85.00,68.00,8
VSR,4.90,0.17,"15,859","19,037",47.13M,21.40,0.23,1.0,1.0,0.0,5.50,5.50,5.50,5.50,1
IPXL,25.18,1.07,"340,207","474,914",1.69B,14.92,1.69,2.7,2.7,0.0,24.09,23.00,30.00,15.00,11
DSPG,9.49,1.33,"122,415","79,973",214.10M,102.04,0.09,3.0,3.0,0.0,7.39,7.39,7.39,7.39,1
PFBC,20.02,0.75,"40,275","27,548",263.38M,14.72,1.36,1.5,1.5,0.0,22.75,22.50,24.00,22.00,4
NWS,17.73,N/A,"431,552","910,336",10.26B,16.43,1.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KELYB,24.17,1.77,0,79,902.87M,18.17,1.33
IILG,30.72,0.76,"283,235","181,676",1.76B,22.77,1.35,1.8,1.8,0.0,29.00,27.00,36.00,26.00,4
KELYA,24.68,2.51,"158,335","122,759",921.92M,18.56,1.33,1.5,1.5,0.0,26.25,27.50,30.00,20.00,4
VSB,5.21,0.73,"10,628","20,821",239.77M,54.84,0.10,1.0,1.0,0.0,6.50,6.50,6.50,6.50,1
CECE,16.54,1.43,"91,550","178,743",423.08M,44.46,0.37,1.8,1.8,0.0,18.20,19.00,22.00,14.00,5
MBLX,1.22,1.52,"75,467","303,844",42.19M,N/A,-0.91,2.7,2.7,0.0,1.50,1.50,1.50,1.50,2
KYTH,35.70,N/A,"643,933","279,641",763.98M,N/A,-3.16,1.7,1.7,0.0,52.83,53.50,60.00,42.00,6
FBMI,19.08,0.7,"4,692","10,889",154.09M,13.63,1.40,2.0,2.0,0.0,18.00,18.00,18.00,18.00,1
ROICU,15.57,N/A,0,27,0,0,0,0,0,0
PFBX,13.20,0.52,"2,800","3,671",67.62M,57.89,0.23,1.0,1.0,0.0,15.75,15.75,15.75,15.75,1
CECO,5.51,2.94,"1,062,356","1,278,210",370.01M,N/A,-2.93,3.3,3.3,0.0,4.20,4.20,4.40,4.00,2
NDSN,73.77,1.4,"212,617","213,552",4.74B,21.57,3.42,2.7,2.7,0.0,73.17,72.50,84.00,65.00,6
ICLN,10.67,46.35M,"41,648","30,118",0,0,0,0,0,0
LTRE,3.18,0.5,766,"23,148",42.01M,N/A,-0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UBCP,8.75,0.46,"11,394","5,563",42.04M,17.50,0.50,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
EXLS,26.91,1.33,"177,548","265,133",886.25M,20.56,1.31,2.0,2.0,0.0,33.15,33.00,37.00,29.00,10
EXLP,29.76,1.2,"96,392","106,456",1.47B,22.73,1.31,2.6,2.6,0.0,32.71,31.00,42.00,29.00,7
IDXX,106.29,0.9,"291,861","357,730",5.52B,31.01,3.43,2.0,2.0,0.0,109.93,111.00,125.00,97.50,7
AEHR,3.06,2.1,"20,513","43,351",32.77M,N/A,-0.34,N/A,N/A,N/A,10.00,10.00,10.00,10.00,1
CNQR,101.48,1.13,"192,307","446,787",5.69B,N/A,-0.44,2.8,2.8,0.0,104.38,100.50,126.00,68.00,16
EOX,7.44,2.46,"556,219","1,130,100",485.81M,N/A,-2.47,2.0,2.0,0.0,10.25,10.50,12.00,8.00,8
ROIC,14.73,0.37,"271,760","439,919",1.06B,32.30,0.46,2.5,2.5,0.0,16.00,16.50,18.00,13.00,4
PACW,41.38,1.94,"417,645","526,006",1.83B,26.63,1.55,2.5,2.5,0.0,41.56,40.00,48.00,30.00,9
STKL,9.92,0.84,"153,675","293,076",659.43M,N/A,-0.05,2.1,2.1,0.0,11.41,12.00,13.00,9.00,11
UFPI,52.43,1.18,"76,825","122,724",1.04B,31.53,1.66,2.3,2.3,0.0,53.00,52.00,60.00,47.00,3
ARTNA,22.93,0.55,"18,324","14,716",201.72M,23.61,0.97,2.3,2.3,0.0,24.50,24.50,25.00,24.00,3
QCLN,18.28,90.35M,"74,161","58,894",0,0,0,0,0,0
CCOI,39.93,1.15,"417,070","208,944",1.84B,481.08,0.08,2.2,2.2,0.0,35.78,39.00,45.00,18.00,9
FULL,7.07,N/A,"44,616","78,618",0,0,0,0,0,0,2.7,2.7,0.0,8.25,8.25,8.50,8.00,2
ADTN,26.51,1.45,"592,787","537,352",1.53B,42.55,0.62,3.1,3.1,0.0,23.05,23.75,30.00,17.00,10
PTX,2.41,1.47,"31,546","122,530",89.57M,N/A,-0.62,2.8,2.8,0.0,3.20,3.00,5.00,2.00,5
CYTXW,0.69,N/A,"1,360","10,164",0,0,0,0,0,0
ONEQ,162.53,N/A,"15,688","16,268",0,0,0,0,0,0
RMBS,9.60,1.71,"352,429","1,011,580",1.08B,N/A,-0.36,2.0,2.0,0.0,12.25,12.50,15.00,6.50,6
CLWT,5.12,1.16,"71,064","39,733",10.59M,N/A,-0.24
MWRX,8.13,N/A,0,"8,024",25.76M,N/A,N/A
FULT,12.91,1.55,"575,600","824,622",2.48B,15.94,0.81,3.1,3.1,0.0,12.86,13.00,14.00,12.00,9
PBHC,13.50,0.77,0,976,33.98M,13.78,0.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TTHI,5.76,1.91,"6,042","40,046",170.14M,N/A,-0.38,2.3,2.3,0.0,6.01,5.50,9.80,3.25,4
SLMAP,45.90,N/A,"1,024","6,743",20.02B,14.06,3.26
PSTR,1.19,2.92,"7,361","31,581",34.67M,N/A,-1.22,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
SBFG,7.96,0.71,920,"9,265",38.76M,7.04,1.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUBIL,25.80,N/A,153,"2,406",637.08M,17.62,1.46
ZBRA,53.58,1.43,"102,922","196,608",2.69B,21.47,2.50,3.0,3.0,0.0,53.83,52.00,58.50,51.00,3
VIFL,7.08,0.49,"10,165","8,608",20.04M,21.78,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IDCC,29.40,1.01,"351,384","531,852",1.21B,4.92,5.98,2.6,2.6,0.0,40.94,41.88,48.00,32.00,4
PSTB,6.99,1.44,"119,469","67,435",307.61M,33.44,0.21,2.0,2.0,0.0,7.23,7.20,7.50,7.00,4
WILN,3.35,0.27,"29,845","195,394",402.80M,N/A,-0.19,1.4,1.4,0.0,5.96,6.21,7.00,4.00,5
QQQ,86.64,N/A,"35,727,317","31,367,000",0,0,0,0,0,0
